content,label
mantap,Positive
Nggk guna,Negative
aplikasi tidak jelas. sudah isi pulsa untuk daftar verifikasi pendaftaran tapi tidak ada kelanjutannya. gimana ini min?,Negative
Ini aplikasi yg gue instal versi terbaru kan? Tapi kenapa pas dibuka minta update pembaruan jink!?,Negative
"TIDAK BISA MASUK MAU DI APLIKASI ATAU PUN DI GOOGLE CROME SELALU GAGAL MULU!!,KATANYA DATA GAK ADA,PADAHAL KALU DICEK BISA MUNCUL!!",Negative
Aplikasi yg sulit Login aja susah 👻,Negative
"Baru juga download & install, Cuma liat muter2 doang kwkwk",Negative
versi terbaru mempersulit pengguna untuk lapor perpajakan tlg di kembalikan saja ke versi lama itu lebih mudah karna menu yg di perlukan muncul semua,Negative
Sudah membuat kode billing. Namun ketika akna membayar. Kode billing tidak ditemukan.,Negative
Belum dipake dah minta update aplikasi tolol pemerintah dongo semua tua bangka tolol,Negative
Susah masukkan kode captcha Abis pulsa gua karna refresh hp minta kirim kode validasi,Negative
Ini apakah bisa diakomodir jika lupa efin?,Neutral
Mau daftar saja susah 🤦,Negative
"Aplikasi payah. Website payah. Query validasi data juga payah. Scrum master-nya tolong totalitas dong. Bisa2nya NIK & KK dibilang gak terdaftar. Trus kita bisa bikin NPWP dan terdaftar di Disdukcapil gimana ceritanya? 🤦🏻‍♀️ Udah update, minta update. Ditungguin, malah splash screen dan blank. Cape pengguna dibuatmu. 🤦🏻‍♀️",Negative
Nyari domisili kurang lengkap masa iya domisili saya tinggal kaga ada apk busuk,Negative
"Customer service payahh, masa iya cuma salah email dan pasword bisa keblokir akun... Di suruh daftar pake email baru lagii. Nanti keblokir lagi karna salah pasword dan email... Teruss gitu sampe 1000 email",Negative
Perentiah 4njing habisian duit negara buat aplikasi kayak t4ik,Negative
hapus aja ini aplikasi dari play store,Negative
Nyusahin,Negative
Padahal aplikasinya diawasi negara kenapa kualitasnya seperti ini?,Negative
aplikasi kaga berguna pulsa udah abis 5000 kaga ke daftar² buat apa ada aplikasi ini kalo kaga berguna,Negative
apinya error ga bisa di buka,Negative
Top..aplikasinya,Positive
buruk sekali.. eror.. live chat pun gk bsa,Negative
Membantu,Positive
Sesuai data,Positive
Percumah kita mau taat pajak aja susah birokrasi ribet aplikasi lemot buat pengurusan gimana negara mau makmur,Negative
"Otp sangat lama, waktu sudah masuk proses verifikasi gagal. Verif efin sudah berkali-kali dicoba tetap gagal verifikasi. Ujung-ujungnya ke kpp juga ini. Buat apa aplikasi dibuat tapi tidak untuk mempermudah",Negative
Ok,Positive
verifikasi sms ga bisa apa ga punya pulsa???,Negative
"Pagi tadi ke kantor pajak buat ngurus aktivasi akun, setelah selesai nanya ke CS nya soal login aplikasi ini dan CS nya bilang ""kita"" gak ada aplikasi kaya gitu pak, ""kita"" base nya pakai website, jadi mending uninstal aja. Baca2 komenan review juga mayoritas negatif, takut input data2 malah disalahgunakan",Negative
Gak guna,Negative
aplikasi paling gk berguna,Negative
sengaja download biar kasi bintang 1,Negative
"Aplikasi g guna,, kyk kantornya",Negative
"Web nya aja ancur ancuran bikin aplikasi, orang orang Pajak tu ngapain aja si, sampe kena hujat sana sini, benerin dulu web nya, bikin app mah buat pantes pantes doang,dikira jadi keliatan keren apa gimana web sama app nya ga bisa di pake,",Negative
"Baru juga download. Mencoba daftar NPWP baru, tetapi tidak ada email yang masuk. Baru langkah awal sudah buruk 👎🏿",Negative
"Baru diinstall, langsung nongol pop up apk harus diupdate dan apk gak bisa digunakan",Negative
"Fitur yang sangat buruk, tidak di aplikasi atau pun di website semua ny buruk!👎",Negative
Bagus,Positive
"Ah, tolol anying",Negative
APK BUSUK MAU LOGIN AJA RIBET,Negative
Aplikasi gak guna ferifikasi data muter2 gak jelas minta efin pun susah gimana mau taat pajak kalau semua dibuat susah.,Negative
Ga becus,Negative
Gak guna ajg lapor spt ttp lewat web,Negative
"Datang ke kantor pajak langsung malah di suruh daftar online, giliran daftar online malah ribet. Terlalu banyak buang waktu",Negative
Servernya lah tolong diurus,Negative
Buat online tp efinnya disuruh dtang langsung sama aja nggk online duh jaman dah online tp pelayanan kek jaman dulu,Negative
Good,Positive
Ga bisa di buka,Negative
Sang membantu,Positive
Aplikasi ini sangat tidak membantu sama sekali,Negative
"Perpindahan antar menu saat di klik memerlukan setidaknya 2-3 detik untuk ditampilkan, harusnya aplikasi ini gk lolos ujicoba pas mau launching,melakukan pendaftaran / lainnya kenapa harus pindah ke via website? Terus fungsi aplikasi ini buat apaan? Buat di putar, di jilat, di bakar kantor pajaknya? Itu dana gede kemanain? Bukannya upgrade kualitas manusia, malah di pake beli Rubicon, nyewa LC, nikah lagi sama LC,elu nagih pajak puluhan tahun dan jutaan warga, masa bikin aplikasi model Majapahit",Negative
Aplikasi tolol,Negative
"Aplikasi Negara Dibiayai APBN kok sering Eror/ Bug Malu maluin 😂 Sesuai kualitas Pejabatnya😂 Contoh tu Aplikasi PLN mobile Bagus and User Friendly, lah Ini Urusan Pendapatan Negara secara Global Makro All sectors malah Eror an😒",Negative
"Terima kasih sekali sangat membantu ,live chat nya juga cepat aplikasi berjalan lancar. Sebagai perantau yang pertama kali juga lupa efin badan bingung banget karena beda sama lupa efin pribadi dengan live chat sangat terbantu makasih kak satria walaupun aku bingung banget tapi Alhamdulillah muncul emil padahal live chat nya keburu berakhir. Makasih pokonya sehat selalu pegawai dpj 🙏🏻",Positive
Apk macam apa ini! Login di website bisa tapi login di apk gak bisa!!,Negative
System konyol tidak ada satupun bintang 5 .,Negative
Mantap,Positive
developer nya keliatan banget ni aplikasi ..sengaja mempersulit orang yg mw daftar ...stelah isi data mw ke selanjutnya eh tombol nya di umpetin ...PEMERINTAHAN EMANG SELALU BEGITU ..,Negative
Mantap,Positive
Login sering bermasalah. Aplikasi ampas.,Negative
"Pengiriman kode otp ketika melakukan pengajuan pupa e-fin sangat lama baik melalui sms maupun e-mail, padahal pengiriman otp melalui sms dikenakan tarif.",Negative
Bagus..pelayan cepat dan sangat membantu..memuaskan..good job,Positive
Mau login aja susah wkwk,Negative
"Saya daftar npwp Krn perangkat desa kantor lurah yg nyuruh, Krna d iming2 bantuan pokir dari caleg Jadi saya susah dapat bantuan pkh, Gmna cara nya ini pak/ibu, mohon bantuannya?",Negative
Sangat bagus,Positive
TELKOMSEL ROLI,Neutral
Aplikasi sulit di pakai mau daftar aja susah...lewat formulir loading lama sekali 1 jam lebih Tolong webnya di perbarui,Negative
gak jelas,Negative
Sering keluar sendiri aplikasi nya jelek bngt,Negative
Minta bantuan masalah EFIN. Malah langsung kabur CS nya. Niat mau bayar pajak tapi GK dikasih EFIN. Lucu banget,Negative
Hahaha aplikasi kepala ...... sudah jelas terdaftar giliran login nggak bisa,Negative
Mbaknya SABAR Banget.. TERIMA KASIH.,Positive
kocak ribet amat bikin NPWP jugaa nunggu email kaga muncul muncul,Negative
bnyk yg ga bs di klik pilihan nya. lemot,Negative
"""Sayangnya M-Pajak telah berhenti"" melulu..",Negative
Setau saya blm ada menu pelaporan SPT nya ya mohon tambah kan dong menu nya biar lebih kumplit dan aplikasi nya perbaiki lemot banget,Negative
"Kebanyakn nipu rakyat,,.. apl gk guna, keliatan Apl hasil uang korupsi.",Negative
"Aplikasi selalu force close saat ingin mengetahui EFIN, pada saat swa foto. Tolong diperbaiki",Negative
"1,a y d, lagi 😁🥲😴",Neutral
Mantap,Positive
"Uangnya banyak, tapi aplikasinya jelek",Negative
"Mau daftar efin lewat online tapi ngga bisa.. ga bisa verifikasi otp nyaa.. udh bbrpa hari dicoba ttep ga bisa..pdhl udh d cobain pake email yg sama tapi kode otp ngga muncul, udh dicoba pake no hp juga sama kode otp nya gaada masuk..",Negative
"habis pulsa sibuk sama capcha,, mw daftar aja ribet gini, peraturan di kasi ribet, babi kering",Negative
kadang lemot,Negative
mantap 👍,Positive
Good,Positive
Aplikasi tidak bisa di gunakan mau masuk saja sudah tidak bisa Salah terus ketika mau lupa password juga tidak bisa 🥱🥱🥱🥱,Negative
Terbaik,Positive
Tingkatka aplikasinya dan permudakan pendaptaranyany.,Negative
Bagus,Positive
TIDAK REKOMENDASI,Negative
👍👌,Positive
"ribet,, baru install suruh update dah nunggu 1 jam gx selesai2 updatenya,, mana maksa banget pengupdatetanya , mana gak bisa di kembalikan, bukan mempermudah malah mempersulit,,",Negative
"Aplikasi gk jelas,bikin akun cuma muter² aja",Negative
Ksh rating 1 ajj Pelayanan pemerintah kok gni,Negative
Mau daftar npwp saja susah. Lewat e-reg website gak bisa lewat aplikasi juga gak bisa. Masak kualitas pendaftaran online sekelas dirjen pajak cuman sebatas ecek2. Susah diakses seperti ini. Mengecewakan.,Negative
"Tiap mau masuk selalu harus login terus pada sebelum nya sudah login dan gak pernah melakukan log out, ribet jadinya",Negative
Saya masih sulit untuk menggunakan aplikasi ini,Negative
Jngn buat malu Indonesia.... Segalanya di persusah... Sudh di ikutin sesuai arahnya namun ad aj hal yg gk bisa...,Negative
Error,Negative
"Beginilah kalau aplikasi plat merah. Boro2 membantu, masuk aplikasi aja susahnye minta ampun. Pajak ooh pajak, kami tuh mau membayar upeti harusnya bisa dipermudah.",Negative
"Gaji UMR potongan pajak Internasional, sehat???",Negative
Bagus,Positive
Ok,Positive
sangat bermanfaat,Positive
Kartu atas saya koc belum ada juga ya pak/bu Kenapa?,Negative
Gak jelas,Negative
"Harus sabar, banyak banyak lihat tutorial, alhamdulillah selesai juga pembuatan via online. ""Nikmat Tuhan yg manakah yg kau dustakan""",Positive
Gabisa dibuka,Negative
tidak lama louding,Positive
Aplikasi sampah,Negative
Sering kembali ke menu asal padahal sudah mengisi data begitu banyak,Negative
gak bisa d buka,Negative
kentut,Negative
Susah aja,Negative
"Gak bisa lapor, di klik aplikasinya diem aja",Negative
Sebenarnya tidak layak dikasih bintang. Online seharusnya mempermudah. Aplikasi malah eror terus,Negative
"Pungutan Uang negara sebanyak itu, masa untuk kembangkan aplikasi seperti ini saja tidak bisa, padahal sangat membantu untuk kita lapor dimanapun dan kapanpun",Negative
Aplikasi pemerintah dengan dana pembuatan yg pakai dana besar tp kualitasnya kok gini amat 😮‍💨,Negative
"Minta kode Verifikasi sampai botak nungguin gak masuk²,, padahal nomor yg didaftarkan masih aktif 👎👎👎",Negative
"Aplikasi sekelas punya pemerintah tpi mau lapor pajak tdk bisa,, pilihan menu nya tidak jelasss,,e mengherankan",Negative
aplikasi apa ini? sampah 🤣,Negative
Yang digadang gadang setiap baliho efiling ternyata zonk wkwkwwk,Negative
Suruh taat pajak tp aplikasi sulit,Negative
"Tolong link ureg.pajak.go.id dibenerin, masa pengen bikin npwp susah bngt,, udh bener tinggl ngisi data doang,, keluar sebentar langsung bikin dari awal lagi,, pulsa gw udh abis goceng bikin itu doang,,, orang pengen bayar pajak ajjh malah dipersulit,,,, kerja yang bener, bukan foya"" sama nyantai"" jangan korupsi terus, uang rakyat buat negara bukan buat diri pribadi, klo fasilitas negara buat rakyatnya kaya gini gimana negara mau maju, yang ada, HANCURRR!!!!!!",Negative
"mau minta efin,pas verifikasi wajah,aplikasi langsung close,jadi nyesel buat npwp.Bukannya d permudah malah ribet banget.",Negative
Sangat Membantu aplikasi ini,Positive
"Ribet banget, muter² gak jelas petunjuknya Kerjasama sama google aja emailnya Lupa efin, dikirim ke email mailnesia Lupa email disuruh masukin efin Trus gimana cara mengetahui efinnya?",Negative
Gk berharap byk soal nya lupa efin ngajuin berkali-kali gk masuk Efin nya ke email,Negative
The best,Positive
Gajelas,Negative
Aplikasi jelek ribet lagi,Negative
"DEVELOPER GAK JELAS, PASTI MANUT AJA JADI BABU PIMPINAN, APLIKASI AJA GAK KE URUS.",Negative
Ok,Positive
Kualitas nya msh buruk,Negative
"Emang yah, aplikasi atau situs sekelas instansi besar di negara kita itu ga keurus, selain rentan kena hack, situs atau webnya ga responsif.. dikit dikit relaunch, error.. apaan dah.",Negative
"Ini aplikasi punya pemerintah untuk masyarakat lho..tapi kok sekali dibuka malah keluar lagi. Aplikasi kok ecek ecek gini, parah sumpah",Negative
"Kenapa setiap selesai upload foto selalunya eror masalah kelurahan padahal nama kelurahan jelas jelas gak ada yang salah sama persis yang di KTP, mau bayar pajak tapi aplikasi model begini 👎👎👎👎, live chat nya aja gak ada solusi",Negative
"Aplikasi SAMPAH KALAU GAK SIAP DIGITAL LEBIH BAIK KONVENSIONAL,BUKANNYA MEMPERMUDAH MALAH BIKIN SENGSARA. LEMOT,ERROR TERUS,COBA LAGI ERROR LAGI,PADAHAL DATA SUDAH FIX BETUL. F""C""",Negative
"aplikasi lemot, sudah punya akun tapi susah masuk, minta verifikasi ulang malah gagal mulu, orang mau lapor aja ribet. lebih mudah bikin akun sosmed daripada akun pajak di aplikasi. heran",Negative
Apknya kalah sama apk warung masukin kode otp efin saja 6x gagal terus ga jelas gimana coba masa,Negative
"Mau ngurus lupa efin aja ribet, padahal udah pake foto sendiri. Klo nagih pajak getol buat pelayanan sulit.",Negative
"Aplikasi GK jelas, sudah berulang kali isi data gagal trus",Negative
Ok,Positive
"Sekelas aplikas pemerintahan loh , cacat banget baru bukanudah eror , maunya nerima uang doang tapi gada kualitas sama sekali",Negative
Mantap,Positive
"Susah login terus, sampe2 pernah ke kantor cabangnya ke cs buat minta bantuan udah bisa login waktu itu. Sekarang dicoba beberapa lagi tetep gak bisa login",Negative
jelek banget,Negative
"Mau mgurus pajak aja susah, padahal tinggal terima uang. Efin efin harus ke kantor nian. Dikira kami nganggur apa gimana. Sulitt",Negative
Baru msuk suru updet..mala muter2 terus gmn sih ini...payahhhhhhh,Negative
"Apk susah buka Nya , auto uninstall",Negative
"Pajak sudah dibayar tapi masih disuruh laporan,trus apa gunanya bayar pajak",Negative
"Aplikasi sampah, susah bener kagak bisa kirim ulang efin buat lapor spt",Negative
Lah cara lapor spt nya gmna kog gk ada menu nya ..,Negative
"Ini bikin aplikasi berapa sih dana nya? Perusahaan swasta pinjol aja aplikasi nya bagus2.. INI SEKELAS NEGARA APLIKASI ANCUR GAK KARUAN, MASA KALAH AMA APLIKASI PINJOL, HAHA..",Negative
Baru download langsung kecewa. Apa uang pajak masyarakat belum cukup banyak ya untuk buat aplikasi receh aja jauh dri kata bagus.,Negative
"Kecewa aing teh kumaha aplikasi suka eror,padahal tiap bulan juga Bayar pajak dipotong pajak,masa mau report aja susah na minta ampun",Negative
"Setelah donlod app ini ko dpt wa penipuan an djp online y,",Negative
"Tidak seperti versi web yg komplit, versi mobil ini justru mengecewakan, kurang fitur",Negative
"Lebih baik aplikasi BOKEP ketimbang apk resmi tapi konyol banyak masalah dan teknisnya baru belajar udh dipaksain buat apk padahal kemampuannya blum mumpuni, bejar dlu nak PD ahlinya jgn buat negara kita malu, ini sgt memalukan masak apk sekelas negara kalah sama apk bokep",Negative
Aplikasi cacat blm mendukung disuruh lapor pajak tapi mempersulit dan ribet buat kami yg jauh dari kota,Negative
Aplikasi negara emang bobrok udh gak heran lagi,Negative
"Ribet, tidak efisien, Lemot, Mohon dipermudah.",Negative
"Sangat buruk, sulit ,",Negative
Salah satu aplikasi tidak berguna dari pemerintah live chat berakhir dengan sendirinya tlpon ke nomer 1500200 juga sama saja,Negative
Aplikasi dibuat untuk menyusahkan... lola bedddd anjir.. baikin dong aplikasinya .hermannnnnnn,Negative
ribettttt,Negative
aplikasi ga guna! jelek bgt kualitasnya,Negative
APLIKASI PALING USELESSS!!!!! DUIT PAJAK RAKYAT TOLONG DONG DIPAKAI BUAT HAL2 YG BERMANFAAT KAYA M PAJAK INI DIBENERIN!!!! KITA MAU BAYAR AJA DIPERSULIT !!!!!!!!,Negative
"Critical Eror Occurred! ayolah katanya masuk kerja dipajak susah seleksinya, masa aplikasinya gabisa dipakai sama sekali kya gini hadeh",Negative
Aplikasi sering error mau di permudah tapi di persulit,Negative
nggak guna banget punya aplikasi,Negative
"Jelek banget aplikasinya. Kami dituntut cepet lapor pajak, tapi ada aplikasi yang kami pikir bisa cepet selesai tapi malah aplikasinya jelek. Gak guna.",Negative
"Aplikasinya benar-benar membuat pusing, berulang kali gagal kalau udh ke tahap selanjutnya",Negative
"Mau lapor pajak aplikasi eror mulu, gak lapor pajak denda, pemerintah bisa nya bikin susah aja",Negative
"baru buka langsung error, mau login error lg, nggak bisa di pake, mau laporan nggak bisa",Negative
Sangat membantu wajib pajak,Positive
"Baru download aplikasi eror mulu gimana mau lapor spt,,tolong di perbaiki.",Negative
Error mulu,Negative
"Parah sekali, seharusnya aplikasi seperti ini membantu dan mempermudah sehingga waktu dan biaya tidak terbuang sia-sia",Negative
Ok mantap,Positive
Banyak kekurangan,Negative
Bgini kualitas pemerintah kita bikin aplikasih tdk usah buat aplikasih om kualitasnya miris,Negative
"Sbetulnya saya heran, kenapa saya disuruh Update padahal di Playstore tidak ada tulisan ""update"" Whyyy???? Saya makin heran ternyata gak cuma saya yg merasakan 😂😂.",Negative
Aplikasi nya sering eror jadi kesel,Negative
"Error, force close, input otp error parah2",Negative
"Aplikasi tolol, bukannya mempermudah",Negative
Parah memang kita bayar pajak kita yg di persulit aplikasi gk guna buat apa di buat masa baru masuk sudah eroorr parah,Negative
Ok,Positive
"Bobrok sekedar buat aplikasi menggunakan uang anggaran tappi gak bermanfaat, gini mau narik ppn 12% pph 21 sudah membuat masyarakat tercekik bos. Antara kebijakan dan pelaksana wajib pajak tidak di pertimbangkan",Negative
Crash ancur,Negative
"Ealah baru aja install langsung error, pemerintah pemerintah, kemana aje tuh uang pajak.",Negative
Aplikasi tolol di buat ga guna baget,Negative
Aplikasi gak guna,Negative
Baru buka langsung tutup aplikasi sendiri,Negative
"Parah ini, sekelas aplikasi Pemerintah pusat error terus",Negative
Lupa efin tidak bisa verifikasi,Negative
Aplikasinya error terus. Percuma ada aplikasi tp error terus. Gak mempermudah,Negative
"Appnya ga bisa dibuka, tertulis Fatal Error JS Function segala macem. Disuruh update tapi pas dicek ko ga ada tulisan Update",Negative
Sangat membantu,Positive
"BENERIN DULU APLIKASINYA LAH, RAKYAT UDAH SURUH BAYAR PAJAK, APLIKASI BUSUK MACAM TAIK JUGA GA DIBENERIN. TIAP MAU BUKA CAMERA ADA AJA ERRORNYA. JANGAN CUMAN SENENG NARIKIN PAJAK RAKYAT AJA KLEAN!!!",Negative
"Mungkin saya orang ke 273.8jt dari penduduk indonesia yg memberi rating 1 pada aplikasi ini, sayang tak ada rating 0, kalau ada saya pilih yg 0",Negative
Ga guna,Negative
Parah nyet,Negative
Aplikasi cacat restart terus,Negative
Aplikasi gakbisa dibuka,Negative
"Aplikasi yg sangat buruk, ngga di website maupun aplikasi sama saja,bukan nya mebg update untuk memperbaiki kualitas pengguna malah tidak ada perkembangan",Negative
"error terus pas verifikasi wajah, kacau!!!",Negative
Link aktivasinya tidak bisa diterima. Sudah coba berkali-kali tetap tidak ada link yang masuk ke email terdaftar.,Negative
Tidak bisa dapatkan efin eror terus padahal data sudah benar,Negative
"Hadehh, bukan nya mempermudah hidup malah mempersulit di app 🤧 (12/1/24) Lagi-lagi saya kecewa dgn app ini, kenapa sih suka sekali buat orang naik darah? Apa ga ada niat pemerintah utk memperbaiki kualitas app nya? Makin hari bukan makin bagus, ini malah makin eror 🤧 jangan makan gaji buta aja dong. Kami disuruh bayar pajak. Tapi app nya ga banget kualitasnya 🤢",Negative
Anehhh mau lapor pajak lewat website pun di persulit dan selalu terjadi kesalawan teruss klo memang GK niat bikin website sama aplikasinya mending GK usah di buat ribett bgtt mau lapor aja sulitt pantes aja PD males mau lapor pajak org ribett nya minta ampun,Negative
"Asli udah di download disuruh update, ini apasih yg di update? Udah 5 jam nungguin loading masih aja begitu",Negative
Viralin Biar Pemerintah Bener Berbenah Jangan Cuma Omong Doang. Aplikasi ERROR.!!,Negative
Bisa minta updaten terbaru untuk samsungA33 ndak?,Negative
"Sok-sokan digitalisasi, tp asal bikin aplikasi. Pajak kita dibuang untuk aplikasi yg sia-sia.",Negative
Kecewa pelayanannya,Negative
ribet mau liat secara online aja harus dtg ke kantor pajak dulu. padahal penting mau liat pajak dr rumah dan taat pajak. aplikasi bobrok.,Negative
aplikasi pajak cacat apalikasi apaan begini,Negative
"Apa sih aplikasi ini gak jelas Mala closing sendiri lagi di daftarin juga,,,kalau emang gak bisa ngebantu mending gak usah diadain,,,nambah ribet aja,,ngeselin",Negative
"Aplikasi yang susah untuk digunakan, bikin geram🥴🤔, bisa tidak diperbaiki lagi?",Negative
"Live pajak ga bisa, 1500200 ga bisa. Apa coba yang bisa membantu?",Negative
Semua yg dari pemerintahan tidak ada yg berguna bagi rakyat hanya memberatkan dan menyusahkan saja.. aplikasi sampah IT yg tidak becus. Tidak mau menerima masukan rakyat negara hancur dan rusak bila di pimpin orang asal asalan,Negative
Ini aplikasi gimana sih? Masa baru aja download udah disuruh update? Gk jelas bgt mana updatenya gk selesai-selesai. Hadeh mau taat pajak tapi alurnya aja susah bgt. Belum lagi propertinya gk mendukung,Negative
"Ini belum optimal ya aplikasi nyaa developer ,udah tahap kirim verifikasi ,tapi tak kunjung datang ke email ,itu nyangkut dimana developer",Negative
Perlu pengembangan untuk pemegang IT Setidaknya biarkan milenial saja yg mengurusi teknologi agar tidak bobrok sprti ini,Negative
"Download aplikasi kirain bakal membantu, ternyata tidak sama sekali.",Negative
"Apapun pilihan menu/pertanyaan knp selalu ngaarah otomatis ke lupa efin,dan menunggunya luama bgt ,yg begini2 susah klo pas mungut pajak cepet 🤭",Negative
"Kode verikfikasi tidak terkirim kirim, baik ke e-mail maupun ke sms, sudah saya cek ke spam juga tidak masuk, pulsa nomor saya juga tidak 0. Saya ulang 2 kali masih juga ga terkirim.",Negative
"SAYA HERAN DENGAN APLIKASI PEMERINTAH INI? SUDAH DINAIKKAN PAJAK, TAPI KUALITAS APLIKASI KAYAK APLIKASI SCAM. KALAU MAU REKRUT ORANG IT, YANG BENAR LAH, BUKAN ASAL BISA JAWAB PSIKOTES DOANG. APLIKASI INI CUMA BUAT FORMALITAS SAJA ATAU MAU MEMPERMUDAH LAYANAN? TOLONG DIRUBAH LAH CARA KERJANYA",Negative
"Aplikasi Kurang Membantu, Maunya Apa Nih...Di Chat,kring, Email Kaga Ada Balasan Sama Sekali",Negative
Coba,Neutral
"Ini saya mau buat npwp, daftar nya astagfirullah, gak heran masyrakat banyak yang main slot karna lebih gampang daftaf slot daripda npwp",Negative
Oke,Positive
"Lupa efin susah bener dapetnya lagi,sudahmasukin data sesuai di npwp ya verif gagal terus. Parah bener apk nya,buang buang kuota.",Negative
Mantap.,Positive
Ini aplikasi paling busuk yang pernah ku install.,Negative
Aplikasi Error saat dibuka pertama,Negative
Lemot,Negative
"mau bayar pajak aja sulit sekali, pake gk bisa segala provide tri dan axis. sekala negara padahal . dh gitu APPnya gk bisa di pencet daftarnya",Negative
aplikasi bagus,Positive
"Bug terus, sekali bug lama",Negative
"Aplikasi bukannya bantu malah makin kesel. Tolol IT developmentnya. Sruh update tapi malah error, d playstore aja ga ada updatenya. Gmna sih.. Aplikasi tolol.",Negative
Sumpah ini aplikasi pemerintahan ga ada yang benar benar bekerja dengan baik. Mau masuk aja ga bisa. Apalagi udah bisa masuk dan mau verifikasi gagal terus. Padahal signal bagus. Semua data sudah saya teliti dengan seksama tapi gagal. Aneh. Untuk apa menciptakan aplikasi online kalau memang sistimnya seperti ini. Hapus Saja. Memang pemerintah itu selalu membuat ribet warga nya. Tidak ada kemudahan sama sekali.,Negative
Burik,Negative
"Dibuka susah, gimana nau bantu kita bayar pajak ini apk 😤",Negative
"aplikasi sesat, mending di hapus saja lah ..",Negative
Aplikasi nya bobrokk g niat amat buat apk..,Negative
"Aplikasi pajak tapi tidak bisa untuk lapor pajak.. ditanya ke petugas katanya ""kita kan sudah online jadi tidak perlu aplikasi"" saya hanya bisa menjawab ""hah??!!"" Jawaban macam apa itu.. aplikasi untuk mempermudah tp malah tidak digunakan.. lucu memang.. anggaran oh anggaran",Negative
aplikasi apa ini? ga guna banget eror mulu,Negative
Gajelas banget aplikasinya eror mulu,Negative
Baru juga mau pakai.. Udah error aja aplikasinya payah,Negative
LAPOR LUPA EFIN TAPI GA DAPET KODE KONFIRMASI. ANEH,Negative
Gk bisa dibuka,Negative
"Kita udah bayar pajak, mau bikin NPWP online aja susah nya minta ampun. Heran sama semua aplikasi pemerintah ga ada yg bener",Negative
"Percuma bikin aplikasi, kalo apa apa harus ke kantor djp",Negative
"Tidak membantu, layanan 1500200 juga tidak membantu pulsa udh abis 50rb cuma sampe sedang sibuk doang. Trmksh",Negative
Diperbaiki lah,Negative
Mohon diperbaiki.. Aplikasi sekelas instansi pemerintah masa buat masuk login aja gak bisa2.. Kacau,Negative
Apk tai,Negative
Baru saja download tapi minta pembaruan lagi... Apk apaan ini 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️ kacau,Negative
Aplikasi tidak berguna lupa ifin salah terus nama kecamatan dan kota padahal sudah sesuai KTP. Lebih baik hapus saja aplikasi ya dari play store,Negative
gajelas,Negative
Erorr ngerestar mulu ini tolong ditingkatkan lagi,Negative
👍,Positive
"G jelas apa maunya ni apk, bukan mempermudah, malah mempersulit",Negative
Ebusseet ini apk kek kntl,Negative
Aplikasi tidak baguss.. Buka apapun susah walaupun signal bagus. Apk hanya bikin pusing,Negative
Aplikasi taik.. Mau bayar pajak susah.. Kode efin susah... Gimana mau lapor pajak...,Negative
Tingkatkan terus,Negative
Eror,Negative
"Lupa efin mau bayar pajak,ribet nya minta ampun,ini mau bayar misal mau ngutang gak cuma ribet mungkin ya...hadeh aplikasi jelek",Negative
Sangat mendukung,Positive
Sulit masuk ya eror,Negative
Kwalitasnya seperti gk berguna samasekali,Negative
sangat membantu,Positive
pemutakhiran NPWP secara mandiri TAPI Se-Rungkad ini aplikasinya,Negative
"Aplikasi apa ini,buat tanya2 susah,ribet.",Negative
Aplikasinya belom kompatibel buat tablet kah 😠,Negative
Sdh di install tp apk keluar terus. Hp memyarankan menutup apl,Negative
Aga lemot yah,Negative
Hati hati ini aplikasi berbahaya.,Negative
"Pajak udh dibayar, hasil nya bikin aplikasi cacat begini",Negative
Capek buat npwn online kek ribet banged kadang kode otpnya g sesuai pass mau di validasi kadang juga pass minta kode verifikasi lama banged mana lagi udh pake pulsa malah ke sedot capek buat online,Negative
Aplikasi bikin dosa aja,Negative
"Daftar efin harus ke kantor, buat apa sistem online!",Negative
Aplikasi apaini. slalu update tapi gk pernah bner. gk kebuka yg benar dulu kalian bikin aplikasi ini bah. memuakkan kali aplikasi kalian ini,Negative
Aplikasi sampah.,Negative
Aplikasi gak guna mau login aja susah,Negative
"lupe EFIN, buka email buat liat OTP pas balik lg ke aplikasi mulai lg dari awal.",Negative
aplikasi sampah kaya gini buat apa???fitur live chat ga bisa verifikasi stuck ngapain di buat aplikasi kalo ga bisa mempermudah pengguna....urusan pajak kok di sepelak kaya urusan bikin krupuk,Negative
"susah amat otpnya, pulsa melayang layang percuma",Negative
"Kalau orang pengen pada tertib bayar pajak lebih di mudahkan lagi di pastikan lagi apk tidak ada kendala, lakukan survey ke masyarakat perbaharui, lupa efin kendala y aplikasi masih lambat padahal signal kencang, verifikasi tidak masuk masuk, menggunakan no telpon tidak bisa, semoga bisa lebih memudahkan kembali dan terus evaluasi",Negative
gimana sih developer kok bisa bisa nya freetext untuk kecamatan kelurahan dan kab kota sehingga menyebabkan verifikasi gagal wkwkw,Negative
Ok,Positive
"Gak bisa digunakan, tetep kudu ke kantor pajak 👍",Negative
Good,Positive
"Sangat tidak membantu, aplikasi selalu mengalami crash..... Tidak ada perbaikan ataupun pengembangan dari pihak terkait",Negative
"Aplikasinya udah bener lagi sekarang, sebelumnya EFIN ga masuk, tapi sekarang udah ada perbaikan",Positive
Eror terus,Negative
aplikasi gak jelas,Negative
